"p","vel:0","vel:1","velocity:0","velocity:1","w_he","ids","object_id","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.38225e-01,-8.17330e-05,-1.21667e+01,-8.17330e-05,-1.21667e+01,7.50874e-01,13618,6,,0.00000e+00,0.00000e+00,-3.00000e-02,0.00000e+00
1.41122e-01,1.06634e-03,-1.21704e+01,1.06634e-03,-1.21704e+01,7.51062e-01,13618,6,,3.72186e-05,1.26605e-05,-2.99650e-02,0.00000e+00
1.44019e-01,2.24185e-03,-1.21704e+01,2.24185e-03,-1.21704e+01,7.51154e-01,13618,6,,7.44390e-05,2.53209e-05,-2.99300e-02,0.00000e+00
1.46916e-01,3.44480e-03,-1.21666e+01,3.44480e-03,-1.21666e+01,7.51151e-01,13618,6,,1.11658e-04,3.79814e-05,-2.98950e-02,0.00000e+00
1.48378e-01,4.55451e-03,-1.21592e+01,4.55451e-03,-1.21592e+01,7.51025e-01,16896,6,,1.48878e-04,5.06419e-05,-2.98600e-02,0.00000e+00
1.49318e-01,5.73586e-03,-1.21480e+01,5.73586e-03,-1.21480e+01,7.50790e-01,5145,6,,1.86097e-04,6.33024e-05,-2.98250e-02,0.00000e+00
1.49814e-01,7.00096e-03,-1.21330e+01,7.00096e-03,-1.21330e+01,7.50427e-01,2368,6,,2.23317e-04,7.59628e-05,-2.97900e-02,0.00000e+00
1.50312e-01,8.28063e-03,-1.21141e+01,8.28063e-03,-1.21141e+01,7.49948e-01,2368,6,,2.60536e-04,8.86233e-05,-2.97550e-02,0.00000e+00
1.50809e-01,9.57049e-03,-1.20912e+01,9.57049e-03,-1.20912e+01,7.49361e-01,2368,6,,2.97756e-04,1.01284e-04,-2.97200e-02,0.00000e+00
1.51185e-01,1.08585e-02,-1.20643e+01,1.08585e-02,-1.20643e+01,7.48660e-01,2795,6,,3.34974e-04,1.13944e-04,-2.96850e-02,0.00000e+00
1.50582e-01,1.20586e-02,-1.20337e+01,1.20586e-02,-1.20337e+01,7.47815e-01,2795,6,,3.72195e-04,1.26605e-04,-2.96500e-02,0.00000e+00
1.49978e-01,1.32654e-02,-1.19992e+01,1.32654e-02,-1.19992e+01,7.46869e-01,2795,6,,4.09413e-04,1.39265e-04,-2.96150e-02,0.00000e+00
1.49374e-01,1.44787e-02,-1.19609e+01,1.44787e-02,-1.19609e+01,7.45820e-01,2795,6,,4.46634e-04,1.51926e-04,-2.95800e-02,0.00000e+00
1.48696e-01,1.57129e-02,-1.19189e+01,1.57129e-02,-1.19189e+01,7.44661e-01,607,6,,4.83852e-04,1.64586e-04,-2.95450e-02,0.00000e+00
1.48033e-01,1.69290e-02,-1.18730e+01,1.69290e-02,-1.18730e+01,7.43389e-01,949,6,,5.21073e-04,1.77247e-04,-2.95100e-02,0.00000e+00
1.47385e-01,1.81318e-02,-1.18232e+01,1.81318e-02,-1.18232e+01,7.42007e-01,949,6,,5.58291e-04,1.89907e-04,-2.94750e-02,0.00000e+00
1.46207e-01,1.92749e-02,-1.17697e+01,1.92749e-02,-1.17697e+01,7.40512e-01,9849,6,,5.95512e-04,2.02568e-04,-2.94400e-02,0.00000e+00
1.44864e-01,2.03877e-02,-1.17124e+01,2.03877e-02,-1.17124e+01,7.38908e-01,9849,6,,6.32730e-04,2.15228e-04,-2.94050e-02,0.00000e+00
1.43520e-01,2.14854e-02,-1.16512e+01,2.14854e-02,-1.16512e+01,7.37195e-01,9849,6,,6.69951e-04,2.27889e-04,-2.93700e-02,0.00000e+00
1.42526e-01,2.25632e-02,-1.15859e+01,2.25632e-02,-1.15859e+01,7.35365e-01,7095,6,,7.07169e-04,2.40549e-04,-2.93350e-02,0.00000e+00
1.41630e-01,2.36138e-02,-1.15172e+01,2.36138e-02,-1.15172e+01,7.33442e-01,7095,6,,7.44390e-04,2.53209e-04,-2.93000e-02,0.00000e+00
1.40734e-01,2.46372e-02,-1.14450e+01,2.46372e-02,-1.14450e+01,7.31431e-01,7095,6,,7.81608e-04,2.65870e-04,-2.92650e-02,0.00000e+00
1.39441e-01,2.55987e-02,-1.13695e+01,2.55987e-02,-1.13695e+01,7.29321e-01,6221,6,,8.18829e-04,2.78530e-04,-2.92300e-02,0.00000e+00
1.38093e-01,2.65261e-02,-1.12903e+01,2.65261e-02,-1.12903e+01,7.27114e-01,6221,6,,8.56047e-04,2.91191e-04,-2.91950e-02,0.00000e+00
1.36765e-01,2.74197e-02,-1.12076e+01,2.74197e-02,-1.12076e+01,7.24809e-01,14417,6,,8.93268e-04,3.03851e-04,-2.91600e-02,0.00000e+00
1.35974e-01,2.83345e-02,-1.11209e+01,2.83345e-02,-1.11209e+01,7.22388e-01,8954,6,,9.30486e-04,3.16512e-04,-2.91250e-02,0.00000e+00
1.35151e-01,2.92028e-02,-1.10307e+01,2.92028e-02,-1.10307e+01,7.19886e-01,8954,6,,9.67707e-04,3.29172e-04,-2.90900e-02,0.00000e+00
1.34298e-01,3.00319e-02,-1.09375e+01,3.00319e-02,-1.09375e+01,7.17311e-01,7207,6,,1.00493e-03,3.41833e-04,-2.90550e-02,0.00000e+00
1.33082e-01,3.07931e-02,-1.08415e+01,3.07931e-02,-1.08415e+01,7.14658e-01,7207,6,,1.04214e-03,3.54493e-04,-2.90200e-02,0.00000e+00
1.31898e-01,3.15092e-02,-1.07423e+01,3.15092e-02,-1.07423e+01,7.11922e-01,7280,6,,1.07936e-03,3.67154e-04,-2.89850e-02,0.00000e+00
1.30834e-01,3.21875e-02,-1.06400e+01,3.21875e-02,-1.06400e+01,7.09104e-01,6482,6,,1.11658e-03,3.79814e-04,-2.89500e-02,0.00000e+00
1.30260e-01,3.28786e-02,-1.05341e+01,3.28786e-02,-1.05341e+01,7.06190e-01,6482,6,,1.15380e-03,3.92475e-04,-2.89150e-02,0.00000e+00
1.29687e-01,3.35302e-02,-1.04248e+01,3.35302e-02,-1.04248e+01,7.03197e-01,9236,6,,1.19102e-03,4.05135e-04,-2.88800e-02,0.00000e+00
1.28985e-01,3.41270e-02,-1.03130e+01,3.41270e-02,-1.03130e+01,7.00149e-01,9525,6,,1.22824e-03,4.17796e-04,-2.88450e-02,0.00000e+00
1.27842e-01,3.46411e-02,-1.01990e+01,3.46411e-02,-1.01990e+01,6.97041e-01,9264,6,,1.26546e-03,4.30456e-04,-2.88100e-02,0.00000e+00
1.26796e-01,3.50906e-02,-1.00824e+01,3.50906e-02,-1.00824e+01,6.93867e-01,9264,6,,1.30268e-03,4.43117e-04,-2.87750e-02,0.00000e+00
1.25982e-01,3.55098e-02,-9.96320e+00,3.55098e-02,-9.96320e+00,6.90634e-01,1180,6,,1.33990e-03,4.55777e-04,-2.87400e-02,0.00000e+00
1.25718e-01,3.59397e-02,-9.84129e+00,3.59397e-02,-9.84129e+00,6.87339e-01,1180,6,,1.37712e-03,4.68438e-04,-2.87050e-02,0.00000e+00
1.25454e-01,3.63311e-02,-9.71693e+00,3.63311e-02,-9.71693e+00,6.83983e-01,1180,6,,1.41434e-03,4.81098e-04,-2.86700e-02,0.00000e+00
1.25059e-01,3.66921e-02,-9.58999e+00,3.66921e-02,-9.58999e+00,6.80565e-01,12942,6,,1.45156e-03,4.93758e-04,-2.86350e-02,0.00000e+00
1.24414e-01,3.69914e-02,-9.46035e+00,3.69914e-02,-9.46035e+00,6.77074e-01,11729,6,,1.48878e-03,5.06419e-04,-2.86000e-02,0.00000e+00
1.23709e-01,3.72252e-02,-9.32916e+00,3.72252e-02,-9.32916e+00,6.73557e-01,11729,6,,1.52600e-03,5.19079e-04,-2.85650e-02,0.00000e+00
1.23033e-01,3.74076e-02,-9.19645e+00,3.74076e-02,-9.19645e+00,6.70010e-01,6364,6,,1.56322e-03,5.31740e-04,-2.85300e-02,0.00000e+00
1.22449e-01,3.75455e-02,-9.06230e+00,3.75455e-02,-9.06230e+00,6.66427e-01,6364,6,,1.60044e-03,5.44400e-04,-2.84950e-02,0.00000e+00
1.21863e-01,3.76377e-02,-8.92638e+00,3.76377e-02,-8.92638e+00,6.62801e-01,7149,6,,1.63766e-03,5.57061e-04,-2.84600e-02,0.00000e+00
