"velocity:0","velocity:1","w_he"
0.0097209,0.016315,0.017214
0.010326,0.016568,0.016801
0.0092502,0.015427,0.016189
0.010063,0.016449,0.017008
0.0098098,0.016026,0.016495
0.0094872,0.015894,0.016701
-0.00022176,-0.00029558,7.9899e-05
-0.00024177,-0.00032317,7.3552e-05
-0.00024611,-0.00035806,8.0505e-05
-0.00023225,-0.00030973,7.6726e-05
-0.00024432,-0.0003405,7.7029e-05
-0.0002346,-0.0003268,8.0202e-05
-0.00014968,-0.0015407,7.2653e-05
-0.0001581,-0.0015588,7.3882e-05
-0.00010468,-0.00085745,3.7587e-05
-0.00015387,-0.0015508,7.3267e-05
-0.00013641,-0.0012203,5.5734e-05
-0.00013159,-0.0012006,5.512e-05
0.0031113,0.00052296,0.0038211
0.0029056,0.00011549,0.0035089
0.0034008,-0.00042995,0.003556
0.0030065,0.00031405,0.003665
0.0031554,-0.00013304,0.0035325
0.0032665,6.1631e-05,0.0036886
-0.017833,0.001719,0.012039
-0.017532,0.00035137,0.011135
-0.01795,0.001442,0.012017
-0.017681,0.0010225,0.011587
-0.01774,0.00088914,0.011576
-0.017891,0.0015811,0.012028
-0.013054,0.0011377,0.010272
-0.01264,0.00012781,0.009793
-0.013096,9.336e-05,0.0097648
-0.012846,0.00063058,0.010032
-0.012873,0.00011092,0.0097789
-0.013078,0.00061185,0.010018
0.00078826,-0.01345,0.0048158
0.0014538,-0.013121,0.0047885
0.00065888,-0.014667,0.0043805
0.0011255,-0.013289,0.0048021
0.0010455,-0.013922,0.0045845
0.00072237,-0.01408,0.0045981
0.0087028,0.015339,0.016605
0.0089987,0.015386,0.016397
0.0092187,0.015845,0.016909
0.00099709,-0.0031895,0.00074708
0.0010789,-0.0030272,0.00082991
0.00099905,-0.0029195,0.00077597
0.0010399,-0.0031137,0.00078849
0.0010381,-0.0029739,0.00080294
0.001,-0.003055,0.00076152
0.00047868,-0.00078575,0.00035368
0.00046337,-0.00076554,0.00034375
0.0004753,-0.00084343,0.00034978
0.00047143,-0.00077619,0.00034871
0.00046963,-0.00080436,0.00034676
0.00047743,-0.00081424,0.00035173
0.0060404,0.001759,0.002302
0.014013,0.0010408,0.0023121
0.01079,0.00012457,0.0026307
0.0097784,0.0014642,0.0023071
0.012433,0.00061519,0.0024714
0.0083004,0.00091577,0.0024663
0.0057874,-0.0040657,0.0064793
0.0059964,-0.0024766,0.0070334
0.0063552,-0.001836,0.0069854
0.0058925,-0.0032821,0.0067564
0.0061883,-0.0021506,0.0070094
0.0060773,-0.00296,0.0067324
0.0017372,-0.0027487,0.0014654
0.0015722,-0.0023548,0.0014481
0.001597,-0.0027901,0.0013343
0.0016557,-0.0025463,0.0014568
0.0015891,-0.0025744,0.0013912
0.0016658,-0.0027724,0.0013999
-0.00021273,-0.00026073,7.4134e-05
-0.00020205,-0.00022893,6.8348e-05
-0.00023393,-0.00028853,6.6754e-05
-0.00020773,-0.0002447,7.1241e-05
-0.00021898,-0.00025894,6.7551e-05
-0.00022403,-0.0002751,7.0444e-05
0.00045824,-0.0047563,0.00045024
0.00050703,-0.0045737,0.00046681
0.00038424,-0.0045133,0.00041718
0.00048393,-0.0046702,0.00045852
0.00044548,-0.0045509,0.00044199
0.00042049,-0.004634,0.00043371
0.00020478,-0.0001905,0.00031543
0.0001784,-0.00015741,0.00031881
0.00014813,-0.0001297,0.00031433
0.00019201,-0.00017389,0.00031712
0.00016342,-0.00014363,0.00031657
0.00017742,-0.00016013,0.00031488
-0.01745,0.00080718,0.011285
