"Points:0","Points:1","Points:2","velocity_:0","velocity_:1","w_he"
0.0068438,0.0019439,0,0.009232,0.015069,0.016551
0.0068877,0.0022141,0,0.0097971,0.015279,0.016129
0.0071289,0.0020417,0,0.0088115,0.014188,0.015554
0.0068658,0.002079,0,0.0095526,0.015181,0.01634
0.0070083,0.0021279,0,0.0093253,0.01476,0.015842
0.0069864,0.0019928,0,0.0090236,0.014651,0.016052
0.017404,0.029002,0,-0.00023038,-0.00029508,7.2597e-05
0.017608,0.028898,0,-0.0002501,-0.00032243,6.683e-05
0.017398,0.028803,0,-0.00025597,-0.00035707,7.3147e-05
0.017506,0.02895,0,-0.00024075,-0.00030912,6.9714e-05
0.017503,0.02885,0,-0.00025341,-0.00033963,6.9988e-05
0.017401,0.028902,0,-0.00024386,-0.00032607,7.2872e-05
0.019096,0.019417,0,-0.00015575,-0.0014897,6.6153e-05
0.019031,0.019799,0,-0.00016462,-0.0015087,6.7255e-05
0.0195,0.019806,0,-0.00010688,-0.00082852,3.4215e-05
0.019063,0.019608,0,-0.00016017,-0.0015002,6.6704e-05
0.019265,0.019802,0,-0.00014052,-0.00118,5.0735e-05
0.019298,0.019612,0,-0.00013549,-0.0011605,5.0184e-05
0.0092388,0.010995,0,0.0029276,-7.3083e-05,0.0035143
0.0092661,0.011505,0,0.0027331,-0.00044026,0.0032226
0.0097826,0.011089,0,0.00319,-0.00098985,0.0032675
0.0092524,0.01125,0,0.0028285,-0.00026157,0.0033685
0.0095243,0.011297,0,0.0029637,-0.00069347,0.0032451
0.0095107,0.011042,0,0.0030687,-0.00051889,0.0033909
0.0078483,-0.0084271,0,-0.017759,0.0015575,0.011932
0.0081208,-0.0085973,0,-0.017455,0.00020793,0.011037
0.0078506,-0.0086682,0,-0.01788,0.0012878,0.011912
0.0079845,-0.0085122,0,-0.017605,0.0008702,0.011485
0.0079857,-0.0086328,0,-0.017666,0.00074039,0.011474
0.0078494,-0.0085476,0,-0.017819,0.0014234,0.011922
0.0087703,-0.0038206,0,-0.012829,0.00079469,0.010111
0.0089963,-0.0037105,0,-0.0124,-0.00020525,0.0096351
0.0089666,-0.0040103,0,-0.012867,-0.00022097,0.0096146
0.0088833,-0.0037656,0,-0.012613,0.00029241,0.0098731
0.0089815,-0.0038604,0,-0.012639,-0.00021268,0.0096249
0.0088685,-0.0039155,0,-0.01285,0.00028327,0.0098628
0.012991,0.0021508,0,0.00092637,-0.013372,0.0045944
0.012992,0.0025373,0,0.0015504,-0.01305,0.0045589
0.013401,0.0022173,0,0.0007916,-0.0145,0.0041756
0.012991,0.002344,0,0.0012431,-0.013214,0.0045767
0.013196,0.0023773,0,0.0011613,-0.013802,0.0043673
0.013196,0.002184,0,0.00085797,-0.013957,0.004385
0.0070549,0.0018186,0,0.008293,0.014134,0.015975
0.0070919,0.0019301,0,0.0085739,0.014164,0.015764
0.0069494,0.0018812,0,0.0087693,0.014618,0.016263
0.011536,0.019515,0,0.00089916,-0.0032941,0.00067879
0.011102,0.019163,0,0.00098038,-0.0031563,0.00075414
0.011066,0.019621,0,0.00090627,-0.0030408,0.00070498
0.011319,0.019339,0,0.0009415,-0.0032304,0.00071646
0.011084,0.019392,0,0.0009425,-0.003099,0.00072956
0.011301,0.019568,0,0.00090448,-0.0031682,0.00069188
0.0095031,0.026904,0,0.00044682,-0.00081277,0.00032132
0.0097238,0.027066,0,0.00043069,-0.00078992,0.0003123
