"Points:0","Points:1","Points:2","velocity_:0","velocity_:1","w_he"
0.0022726,-0.019815,0,0.49847,0.0065176,0.055876
0.0023074,-0.019782,0,0.47919,-0.0057001,0.051913
0.0023214,-0.019827,0,0.51606,0.011,0.052557
0.00229,-0.019799,0,0.48867,0.00036907,0.053895
0.0023144,-0.019805,0,0.49724,0.0026499,0.052235
0.002297,-0.019821,0,0.50736,0.0090009,0.054217
0.0054869,0.011059,0,0.00018263,-0.20707,1.9904e-29
0.0058873,0.011316,0,0.00057532,-0.357,-7.6265e-32
0.0059065,0.010732,0,0.0022444,-0.35872,1.6789e-29
0.0056871,0.011188,0,0.00048687,-0.28976,9.9137e-30
0.0058969,0.011024,0,0.0014024,-0.35782,8.3564e-30
0.0056967,0.010895,0,0.00098382,-0.29117,1.8346e-29
0.009268,0.020885,0,-0.00041382,-0.34698,-9.2936e-43
0.0083852,0.021068,0,-0.0056713,-0.50521,-2.1295e-42
0.0088361,0.021702,0,-0.013688,-0.42016,4.0696e-43
0.0088266,0.020977,0,-0.017029,-0.44188,-1.5295e-42
0.0086107,0.021385,0,-0.0069869,-0.46622,-8.6129e-43
0.0090521,0.021293,0,-0.0060817,-0.39606,-2.612e-43
0.00024212,-0.0053995,0,0.050372,-8.8257,0.75691
0.00019628,-0.0054966,0,0.041853,-9.2237,0.76357
0.0001096,-0.005394,0,0.025196,-9.8571,0.78703
0.0002192,-0.005448,0,0.046246,-9.0353,0.76024
0.00015294,-0.0054453,0,0.034042,-9.5768,0.7753
0.00017586,-0.0053967,0,0.039084,-9.4301,0.77197
0.0092697,-0.016,0,0.010624,0.1265,6.4692e-13
0.0096398,-0.016057,0,0.0033865,0.1381,1.8704e-13
0.0093636,-0.016314,0,0.010142,0.13136,1.0775e-12
0.0094548,-0.016028,0,0.0064093,0.14417,4.1698e-13
0.0095017,-0.016185,0,0.0062022,0.14341,6.3225e-13
0.0093167,-0.016157,0,0.010369,0.12933,8.6219e-13
0.00034532,-0.019524,0,0.039816,-5.4888,0.36676
0.00036522,-0.019473,0,0.042169,-5.3894,0.36488
0.00040994,-0.019516,0,0.046722,-5.1185,0.35841
0.00035527,-0.019498,0,0.041004,-5.4396,0.36582
0.00038758,-0.019494,0,0.044395,-5.2558,0.36164
0.00037763,-0.01952,0,0.043194,-5.308,0.36259
0.00011219,-0.013503,0,0.01045,-7.5457,0.51548
0.00023627,-0.013519,0,0.02076,-7.0122,0.50176
0.00017903,-0.013616,0,0.016314,-7.282,0.50579
0.00017423,-0.013511,0,0.015981,-7.3212,0.50862
0.00020765,-0.013567,0,0.018619,-7.156,0.50378
0.00014561,-0.013559,0,0.013486,-7.4258,0.51064
0.0031999,-0.003167,0,-0.13427,-0.15605,0.00061568
0.003264,-0.0030145,0,-0.13727,-0.15579,0.00048061
0.0033448,-0.0031481,0,-0.13758,-0.17509,0.00036831
0.003232,-0.0030907,0,-0.13579,-0.1559,0.00054815
0.0033044,-0.0030813,0,-0.13748,-0.16548,0.00042446
0.0032723,-0.0031576,0,-0.13594,-0.16548,0.000492
0.0071148,-0.019803,0,0.32309,-0.13722,2.254e-06
0.0069236,-0.019863,0,0.34486,-0.13071,4.5612e-06
0.0069034,-0.019695,0,0.31424,-0.13133,3.6515e-06
0.0070192,-0.019833,0,0.33365,-0.13446,3.4076e-06
0.0069135,-0.019779,0,0.32882,-0.13076,4.1063e-06
0.0070091,-0.019749,0,0.31924,-0.13452,2.9527e-06
0.0027052,-0.013595,0,-0.026872,-0.36397,0.010024
0.0027807,-0.013711,0,-0.025409,-0.36217,0.0083226
0.0026463,-0.013692,0,-0.026621,-0.36525,0.011582
0.002743,-0.013653,0,-0.026156,-0.36306,0.0091732
0.0027135,-0.013702,0,-0.026039,-0.36355,0.0099522
0.0026757,-0.013643,0,-0.026749,-0.36455,0.010803
0.00606,-0.00043217,0,-0.15137,-0.50734,1.4445e-08
0.006293,-0.00050752,0,-0.144,-0.51846,4.8366e-09
0.0060489,-0.00070389,0,-0.15318,-0.50367,1.3545e-08
0.0061765,-0.00046985,0,-0.1479,-0.51418,9.6409e-09
0.0061709,-0.00060571,0,-0.14872,-0.51188,9.191e-09
0.0060544,-0.00056803,0,-0.15246,-0.50554,1.3995e-08
0.0069202,-0.0048146,0,-0.05647,-0.35475,2.3015e-10
0.0069848,-0.0045449,0,-0.058764,-0.35409,1.582e-10
0.0071855,-0.0046381,0,-0.050691,-0.32273,6.3968e-11
0.0069525,-0.0046798,0,-0.057636,-0.35442,1.9417e-10
0.0070851,-0.0045915,0,-0.05468,-0.33888,1.1108e-10
0.0070528,-0.0047263,0,-0.053595,-0.3395,1.4706e-10
0.0041419,-0.017629,0,0.088062,-0.23212,0.00023242
0.0042265,-0.017783,0,0.098193,-0.22344,0.00019167
0.0040972,-0.017755,0,0.093335,-0.2256,0.00027259
0.0041842,-0.017706,0,0.093143,-0.22773,0.00021204
0.0041619,-0.017769,0,0.095831,-0.22448,0.00023213
0.0041195,-0.017692,0,0.09068,-0.22885,0.0002525
0.0093022,-0.0070407,0,7.232e-07,0.10991,8.1358e-15
0.009027,-0.0073021,0,-0.0013442,0.075787,4.1257e-14
0.0089375,-0.0070141,0,-0.0016272,0.05773,5.713e-14
0.0091646,-0.0071714,0,-0.00055823,0.095232,2.4696e-14
0.0089822,-0.0071581,0,-0.001485,0.066948,4.9194e-14
0.0091199,-0.0070274,0,-0.00066033,0.08768,3.2633e-14
0.001322,-0.019477,0,0.1326,-0.7772,0.16141
0.0013513,-0.019529,0,0.14913,-0.70796,0.15684
0.0012931,-0.019523,0,0.13853,-0.82494,0.16794
0.0013367,-0.019503,0,0.14057,-0.74227,0.15912
0.0013222,-0.019526,0,0.14376,-0.76438,0.16239
0.0013076,-0.0195,0,0.13552,-0.80051,0.16468
0.00043495,-0.019965,0,0.0095037,-4.8633,0.34874
0.00039813,-0.019967,0,0.002929,-5.0915,0.35422
0.00041188,-0.019925,0,0.015469,-5.0148,0.35249
0.00041654,-0.019966,0,0.0056498,-4.9785,0.35148
0.000405,-0.019946,0,0.0092213,-5.0533,0.35336
0.00042341,-0.019945,0,0.012445,-4.9395,0.35061
0.00018274,-0.013818,0,0.016449,-7.2306,0.50031
0.00023955,-0.01392,0,0.020413,-6.9307,0.492
0.00011205,-0.013934,0,0.010297,-7.4654,0.50383
0.00021115,-0.013869,0,0.018534,-7.0879,0.49615
0.0001758,-0.013927,0,0.015736,-7.2416,0.49792
0.00014739,-0.013876,0,0.013433,-7.3621,0.50207
0.0095382,0.0064533,0,-0.0037407,-0.12023,4.1553e-25
0.0092176,0.0061017,0,-0.0096574,-0.21386,1.5117e-23
0.0090369,0.0064184,0,-0.013008,-0.27623,8.3203e-23
0.0093779,0.0062775,0,-0.0066166,-0.16718,7.7662e-24
0.0091273,0.00626,0,-0.01143,-0.24545,4.916e-23
0.0092876,0.0064359,0,-0.0082146,-0.19947,4.1809e-23
0.0022854,-0.019865,0,0.54206,0.026295,0.056583
0.0023034,-0.019846,0,0.5288,0.018577,0.05457
0.002279,-0.01984,0,0.51972,0.01639,0.05623
0.0096808,-0.00096736,0,-0.0015295,0.049867,1.0384e-16
0.0092806,-0.0010339,0,-0.008725,0.010771,1.3688e-15
0.0092944,-0.00066706,0,-0.0086883,0.0031982,1.2774e-15
0.0094807,-0.0010006,0,-0.0044389,0.039784,7.3631e-16
0.0092875,-0.00085047,0,-0.0086532,0.0070114,1.3231e-15
0.0094876,-0.00081721,0,-0.0043449,0.036471,6.9062e-16
0.0026277,-0.011708,0,-0.038856,-0.35818,0.01169
0.0026942,-0.011607,0,-0.03925,-0.35792,0.0098258
0.002758,-0.011725,0,-0.038352,-0.35942,0.008379
0.0026609,-0.011658,0,-0.039056,-0.358,0.010758
0.0027261,-0.011666,0,-0.038811,-0.35867,0.0091024
0.0026929,-0.011717,0,-0.038623,-0.35871,0.010035
0.0021013,-0.010443,0,-0.044755,-0.34169,0.040101
0.0022302,-0.010411,0,-0.045564,-0.33915,0.029691
0.002201,-0.010518,0,-0.04488,-0.34155,0.031849
0.0021658,-0.010427,0,-0.045189,-0.34006,0.034896
0.0022156,-0.010465,0,-0.045222,-0.34032,0.03077
0.0021512,-0.010481,0,-0.04484,-0.34146,0.035975
0.0020522,-0.0058513,0,-0.078665,-0.18361,0.031345
0.0020373,-0.0059614,0,-0.077276,-0.18807,0.033069
0.0019309,-0.0058887,0,-0.076404,-0.17845,0.042809
0.0020447,-0.0059064,0,-0.077968,-0.18585,0.032207
0.0019841,-0.0059251,0,-0.076854,-0.18315,0.037939
0.0019915,-0.00587,0,-0.077542,-0.18083,0.037077
0.0039508,-0.015723,0,0.020373,-0.31516,0.00034888
0.0037607,-0.015734,0,0.016285,-0.31613,0.00059714
0.0038329,-0.015605,0,0.015292,-0.3196,0.00049336
0.0038557,-0.015728,0,0.018347,-0.31559,0.00047301
0.0037968,-0.015669,0,0.015801,-0.31783,0.00054525
0.0038918,-0.015664,0,0.017808,-0.31741,0.00042112
0.00042433,-0.019832,0,0.033198,-4.9584,0.35192
0.0003962,-0.019793,0,0.033728,-5.1371,0.35668
0.00044787,-0.019793,0,0.040898,-4.8215,0.34929
0.00041027,-0.019812,0,0.033401,-5.0484,0.3543
0.00042204,-0.019793,0,0.03692,-4.9814,0.35298
0.0004361,-0.019812,0,0.037017,-4.8903,0.3506
0.0058691,-0.011197,0,-0.016051,-0.34091,2.9614e-07
0.0059109,-0.010955,0,-0.017737,-0.34062,2.4006e-07
0.0061303,-0.011102,0,-0.014425,-0.32222,1.0073e-07
0.00589,-0.011076,0,-0.016903,-0.34075,2.681e-07
0.0060206,-0.011028,0,-0.016046,-0.3317,1.7039e-07
0.0059997,-0.011149,0,-0.015212,-0.33195,1.9843e-07
0.0032044,-0.0045397,0,-0.11389,-0.22847,0.00079679
0.0032029,-0.0044197,0,-0.11582,-0.22279,0.00077648
0.0033468,-0.0044526,0,-0.11723,-0.24121,0.00047627
0.0032037,-0.0044797,0,-0.11486,-0.22565,0.00078663
0.0032748,-0.0044361,0,-0.11656,-0.23198,0.00062637
0.0032756,-0.0044962,0,-0.11558,-0.23476,0.00063653
0.0031328,-0.018722,0,0.15815,-0.18172,0.0046027
0.003051,-0.018691,0,0.15168,-0.18638,0.0054567
0.0031518,-0.018635,0,0.14604,-0.18767,0.004208
